Elevation Zone,Management Category,Reach,Network,Confinement,"Confinement, ind. ch. width (m/m)",Reach length (m),BF width (m),Valley width (m),Logjams/100m valley (#),Wood vol./ 100m valley (m3),WoodVolPerArea,Wood pieces/ 100 m valley (#),Pool OM vol./ 100m valley (m3),Multithread planform,Logjam sediment OC (Mg/ha),Pool sediment OC (Mg/ha),Logjam sediment OC/ 100m valley (Mg) ,Pool sediment OC/ 100m valley (Mg),Y,X,Data Source
Montane,YU,JG1,Other,P,3.2,25,2.6,8.3,0,0.26,0.001,24,1.85,,,13.408,,0.342,40.6262,-105.5398,Jackson (2014); Jackson and Wohl (2015)
Montane,YU,LBC8,Other,P,3.1,56,5,15.5,3.6,3.86,0.00772,26.8,0,,,0,,0,40.6177,-105.5514,Jackson (2014); Jackson and Wohl (2015)
Montane,YM,ElkC1,Other,U,8.3,120,4.7,39,1,1.08,0.002297872,7,0.12,,,2,,0.12,40.7475,-105.5414,this study
Montane,YM,ManC,Other,U,11.7,154,2.9,34,1,1.18,0.004068966,6.5,0.02,,,0.5,,0.02,40.7336,-105.5912,this study
Montane,YM,ElkC2,Other,U,18.7,170,3,56,2,0.34,0.001133333,12,0.18,,,3.6,,0.18,40.7573,-105.6143,this study
Montane,YM,ElkC3,Other,U,16.6,165,4.1,68,2,1.04,0.002536585,2.4,0.02,,,0.286,,0.02,40.7592,-105.581,this study
Montane,YM,LonePineC,Other,U,17.9,187,6.6,118,0,0.48,0.000727273,3,0,,,0,,,40.7865,-105.5387,this study
Montane,YM,SevenmileC,Other,U,11.5,135,4.8,55,1,1.47,0.0030625,5,0.65,,,10.833,,0.65,40.7023,-105.5844,this study
Montane,YM,DaddG,Other,U,19,130,2,38,2,0.3,0.0015,4,0.18,,,6,,0.18,40.6955,-105.5418,this study
Montane,YM,BennettC,Other,U,18.7,135,3.1,58,1,1.68,0.005419355,5,0.44,,,11,,0.44,40.6566,-105.5373,this study
